,Review,Cleaned_Review,Category
17537, The room looked tired it needed redecorating peeling wallpaper stains on the wall Even though we only paid 65 00 you would expect a certain standard of room this unfortunately was hot meet I am sorry to be so negative but it was just not up to standard Trays in the corridor when I went up to my room initially and they were still there the next day ,room look tire need redecorate peel wallpaper stain wall even though pay would expect certain standard room unfortunately hot meet sorry negative not standard trays corridor go room initially still next day,0
17538, The un sympathetic staff The Window with a view of a steel wall literally The four single beds The noise from the elevators and work going on outside To far from tube station ,un sympathetic staff window view steel wall literally four single bed noise elevators work go outside far tube station,0
17539, The room looked like something from 1982 and pretty depressing for a single traveller Most things had obvious signs of wear and tear Swimming pool was ok but needs complete overhaul Brunch was poor with silver foil in scrambled eggs burnt tomatoes and no tea served you even have to do that yourself ,room look like something pretty depress single traveller things obvious sign wear tear swim pool ok need complete overhaul brunch poor silver foil scramble egg burn tomatoes tea serve even,0
17540, Room was constantly at 29 degrees and couldn t be changed and the overground directly outside kept us awake for two nights ending at 1 am and beginning at 5am Stains on the towels which weren t changed either Moved room for the third night this was slightly better except for the external air con machines ,room constantly degrees change overground directly outside keep us awake two nights end begin stain towel change either move room third night slightly better except external air con machine,0
17541, Limited WiFi access Limited refreshments in room ok if you drink caffinated coffee and tea with milk Room felt dated and a little tired,limit wifi access limit refreshments room ok drink caffinated coffee tea milk room felt date little tire,0
17542, The staff are never smiling it s as though the customers are an inconvenience to them Instance I walked into breakfast at 7am the guy at the door said Voucher card no good morning no please certainly no thank you All of the staff that you see around the hotel never say hello can I help they just look straight through you Customer service is extremely poor sorry ,staff never smile though customers inconvenience instance walk breakfast guy door say voucher card good morning please certainly thank staff see around hotel never say hello help look straight customer service extremely poor sorry,0
17543, Staff at breakfast should be trained to ask guests if they had stayed before and if not explain the way in which things are done Jugs on tables have very strong stewed coffee in them took me 5 minutes to find out Tea you go to collect Breakfast is self service but not easy to negotiate Best to put amount of coffee in cup the go up and find hot milk earn to blend it ,staff breakfast train ask guests stay not explain way things jug table strong stew coffee take minutes find tea go collect breakfast self service not easy negotiate best put amount coffee cup go find hot milk earn blend,0
17544, The staff We called the hotel ahead of our arrival to ask if there was parking We were told their was What we wasn t told was it was 42 So upon arrival we were met with a 42 parking fee in a non secure car park We tried to speak to the duty manager who was absurdly rude He spoke to us with no respect and told us if we didn t like the parking cost we could leave We were in complete shock He was so rude We are very well travelled and have never encountered such rudeness We also found the rooms dirty Hairs in the bed Wall paper hanging off Unkept carpet Now for the grand finally Rats There were 2 rats that we saw on separate occasions and in different parts of the hotel My advice avoid this pit of a hotel ,staff call hotel ahead arrival ask park tell tell upon arrival meet park fee non secure car park try speak duty manager absurdly rude speak us respect tell us like park cost could leave complete shock rude well travel never encounter rudeness also find room dirty hairs bed wall paper hang unkept carpet grand finally rat rat saw separate occasion different part hotel advice avoid pit hotel,0
17545, The water was not that hot At breakfast it was the same water for tea and coffee lukewarm,water not hot breakfast water tea coffee lukewarm,0
17546, The heating was not on and we had to ask for it to be put on and sleeping nearer to the Water it was quite cold for February Parties by other occupants at 3am ,heat not ask put sleep nearer water quite cold february party occupants,0
17547, That I had to check out of the hotel the next morning I didn t want to leave the place if I had to be really honest ,check hotel next morning want leave place really honest,0
17548, Even though big the room was stuffy as the windows didn t open Light came through the window all night and the bed was not comfortable I usually really enjoy a hotel cooked breakfast but this was one of the worst I ve had ,even though big room stuffy windows open light come window night bed not comfortable usually really enjoy hotel cook breakfast one worst,0
17549, There was nothing I did not like apart from having to leave the hotel when my business trip was over ,nothing not like apart leave hotel business trip,0
17550, Found hair in my bath that was quite clearly not mine Bath should have been cleaned properly Wardrobe doors were precarious to say the least so I did not use it for fear of them falling out of the frame D cor was out dated and tied lots of road noise from the street below and I was on the 10th floor ,find hair bath quite clearly not mine bath clean properly wardrobe doors precarious say least not use fear fall frame cor date tie lot road noise street th floor,0
17551, The room was big and the heater provided wasn t enough to heat up the room so it was very cold,room big heater provide enough heat room cold,0
17552, The hotel is absolutely HORRIBLE If you are travelling on your own and like the company of the Norfolk Howard or a few alongside with mice in the dining area this is the place for you Tried to speak to the staff and the hotel manager who just laughed in my face and said to carry investigation on the bed bugs we will have to charge you 350 00 So if you fancy some extreme ,hotel absolutely horrible travel like company norfolk howard alongside mice din area place try speak staff hotel manager laugh face say carry investigation bed bug charge fancy extreme,0
17553, Staff member made me wait 10 minutes whilst he did the paperwork from a previous guest at 3am No hot water from the bathroom taps or shower Noisy room by double doors so you can hear slamming through the night The rooms need sound proofing can hear neighbours talking clearly ,staff member make wait minutes whilst paperwork previous guest hot water bathroom tap shower noisy room double doors hear slam night room need sound proof hear neighbour talk clearly,0
17554, This hotel would have been really nice about 15 years ago Sadly its suffering from urban decay and is in dire need of investment it s by no means bad its just looking abit tired and needs serious amounts of investment However it being a Britannia it will ran into the ground and then sold to a developer however the price was reflective of the above For what I paid 60 I would 100 stay again ,hotel would really nice years ago sadly suffer urban decay dire need investment mean bad look abit tire need serious amount investment however britannia run grind sell developer however price reflective pay would stay,0
17555, I didn t like my room because it was cold and the bed was too small for a double when I requested for room move they put me in a twin disable room when I clearly booked a double when I requested for another room move they said they were gonna ring me back which they never did So I had to go back downstairs to speak to someone They were rude and put me back to the same room I said I didn t like ,like room cold bed small double request room move put twin disable room clearly book double request another room move say go ring back never go back downstairs speak someone rude put back room say like,0
17556, It was quite cold in the room and the blanket too thin and small for a big double bed Also no wifi in the room just the lobby ,quite cold room blanket thin small big double bed also wifi room lobby,0
17557, The bed really wasn t very comfortable and our bathroom had a sink without a working tap ,bed really comfortable bathroom sink without work tap,0
17558, The staff are not very helpful or polite The rooms could do with a face lift and nip and tuck here are there ,staff not helpful polite room could face lift nip tuck,0
17559, The hotel was worn out and old Wasn t at all like the pictures in booking com My room had furniture that was older than me and I am 45 ,hotel wear old like picture book com room furniture older,0
17560, I asked for poached eggs to the chef who told me to ask the waiter I did and pointed to were I was sitting half an hour later ni eggs I asked the chef and he insisted on showing they were ready in the kitchen I never received the eggs and as I had to leave for my meeting was very disappointed,ask poach egg chef tell ask waiter point sit half hour later ni egg ask chef insist show ready kitchen never receive egg leave meet disappoint,0
17561, As i travelled by car to the hotel I felt like it took alot longer then the hour and some min from Heathrow it was gonna take,travel car hotel felt like take alot longer hour min heathrow go take,0
17562, Outdated Felt like a shabby seaside hotel Appalled that only 40mins of free wifi is given Rooms terribly outdated and wallpaper peeling Window closing mechanism was broken to window bolted shut but allowed in a lot of street Will not be staying again ,outdated felt like shabby seaside hotel appal mins free wifi give room terribly outdated wallpaper peel window close mechanism break window bolt shut allow lot street not stay,0
17563, The Italian restaurant could serve something more fresh it was a bit like a takeway food pizza reminded me of Dominos although some might like it But the prices were good so can t complain ,italian restaurant could serve something fresh bite like takeway food pizza remind dominos although might like price good complain,0
17564, I was thrown of the hotel at 11pm at night My partner who was working in the area had booked a room and he was stopped by the manager and a police officer who insisted we leave the hotel no refund was given and its disgusting how we was thrown out on the street at 11pm at night Will be taking further action on this ,throw hotel pm night partner work area book room stop manager police officer insist leave hotel refund give disgust throw street pm night take action,0
17565, Couldn t open windows no fresh air,open windows fresh air,0
17566, No downfalls though all was good,downfalls though good,0
17567, Poor WiFi provision ,poor wifi provision,0
17568, Breakfast is a joke you have to wait 10 to 30 mns Lifts are in the mornings blocked for several minutes aswell My room had NO window I know now how prison feels Value for money is very bad 200 GBP per night Taxis are more expensive if the concierge calls them He asks them for a commission 2 taxi driver told me this when I asked He adds minimum 5 GBP up to 20 GBP for airport transfer By the way My room had a terrible smell The reason could be that there is no window so NO fresh air at all ,breakfast joke wait mns lift mornings block several minutes aswell room window know prison feel value money bad gbp per night taxis expensive concierge call ask commission taxi driver tell ask add minimum gbp gbp airport transfer way room terrible smell reason could window fresh air,0
17569, Room stank of smoke Towels could not be used because of smoke smell Furniture in the room is very dated Bathroom fittings are poor ,room stink smoke towel could not use smoke smell furniture room date bathroom fittings poor,0
17570, Wifi should be free of cost and 24 hours nonstop to all rooms rather than just 20mins free service per room per day,wifi free cost hours nonstop room rather mins free service per room per day,0
17571, The comfort of the bed the room service the breakfast prices and there could have been a shower,comfort bed room service breakfast price could shower,0
17572, The cleaniness of the room was not good Other guests hairs in bath and sink Yuk Also decor is very dated and needs a refresh Breakfast was disgusting and you could tell they were using cheap food meat ,cleaniness room not good guests hairs bath sink yuk also decor date need refresh breakfast disgust could tell use cheap food meat,0
17573, Tiny sized bed ,tiny size bed,0
17574, The hotel was very cold Reception area lounge and bar area so cold that it was uncomfortable to sit in the space Which is a shame as it was a lovely space but FREEZING When we first arrived our room was also cold but the heating seemed to kick in and it warmed up eventually The breakfast wasn t hot enough and very substandard for 13 ,hotel cold reception area lounge bar area cold uncomfortable sit space shame lovely space freeze first arrive room also cold heat seem kick warm eventually breakfast hot enough substandard,0
17575, Breakfast finished st 10 30 on Saturday so went at 10 to find most items on the buffet hadn t been replenished and what was there looked very unappetising Asked if we could have poached eggs and were told that the kitchen had closed After asking if the hot trays would be refilled someone came out within minutes with a tray of very overcooked looking sausages at which point we decided to leave and ask for our breakfast payment to be refunded Manager not accommodating and refused to refund us We checked out and walked 5 minutes to Carluccio s and had an amazing breakfast freshly cooked with excellent produce My advice Don t pay extra for breakfast at this hotel plenty of choice within very close walking distance and cheaper too ,breakfast finish st saturday go find items buffet replenish look unappetising ask could poach egg tell kitchen close ask hot trays would refill someone come within minutes tray overcook look sausages point decide leave ask breakfast payment refund manager not accommodate refuse refund us check walk minutes carluccio amaze breakfast freshly cook excellent produce advice pay extra breakfast hotel plenty choice within close walk distance cheaper,0
17576, I was given a room which Was occupied But the receptionist resolve this promptly,give room occupy receptionist resolve promptly,0
17577, The furnishings and decor of the standard double room with windows looked tired and the room could do with a make over because the dark wood furniture with scratches and blue striped wallpaper with marks on it isn t very appealing The bathroom needs an upgrade the mirrors show signs of age one them was going brown along the sides and the chrome mirror finish was affected The air con didn t cool the room and when switched on the non smoking room then had faint smelt of cigarettes Location is near the DLR and the train noise could be heard We could also hear the people in the room next door talking and taking part in erm well things you do in bed at night that make the bed knock against the wall ,furnish decor standard double room windows look tire room could make dark wood furniture scratch blue strip wallpaper mark appeal bathroom need upgrade mirror show sign age one go brown along side chrome mirror finish affect air con cool room switch non smoke room faint smelt cigarettes location near dlr train noise could hear could also hear people room next door talk take part erm well things bed night make bed knock wall,0
17578, There was a fly in my pasta One staff at the hotel was rude and even wanted to charge us 5 for asking to have a cover to carry our food to our room We later spotted a mouse running round the waiting area The salmon pasta smelt foul The room took ages to clean and we had to ask for sheets to change it ourselves The heater in the room does not work Just hated the whole experience in this hotel ,fly pasta one staff hotel rude even want charge us ask cover carry food room later spot mouse run round wait area salmon pasta smelt foul room take age clean ask sheet change heater room not work hat whole experience hotel,0
17579, The bed a little uncomfortable as it was 2 beds joined together and the middle line was hurting my back,bed little uncomfortable bed join together middle line hurt back,0
17580, They would not serve us breakfast because we went down at 10 30 and they stop serving at 10 30 Does this mean if we went down at 10 29 we would be able to eat then ,would not serve us breakfast go stop serve mean go would able eat,0
17581, The bed was really uncomfortable and the furniture was really old fashioned ,bed really uncomfortable furniture really old fashion,0
17582, although I booked a smoking room the smell of smoke in the room was overwhelming may be the rooms need to be aired longer saw a mouse in the bar,although book smoke room smell smoke room overwhelm may room need air longer saw mouse bar,0
17583, Air con constantly on in room was cold on first night did offer another room but had to pay 30 extra ,air con constantly room cold first night offer another room pay extra,0
17584, All the extras WiFi 7 pounds a day room service 5 pounds extra taxis a rip off late checkout 10 pounds by the hour You feel kind you re getting fleaced for everything Staff seem pretty miserable and most of the guests too ,extras wifi pound day room service pound extra taxis rip late checkout pound hour feel kind get fleaced everything staff seem pretty miserable guests,0
17585, The price on booking com fornt page and the price on the email recieved was different I emailed bookinng com witha proof but they didnt get back to me and had to pay to pay more at the hoetel Not the hotel s fault though Its en error with booking com I am still waiting for an answer since last week ,price book com fornt page price email recieved different email bookinng com witha proof not get back pay pay hoetel not hotel fault though en error book com still wait answer since last week,0
17586, The whole experience and then being over charged for said experience ,whole experience charge say experience,0
17587, Horrific weekend Persuaded to upgrade when we arrived our upgraded room was over looking a building site not the river as assured We were unable to notice this when we initially went to the room as it was dark However at 6am the DLR started and then at 7am the building works started When we asked to speak to duty manager he was busy so waited when he finally came to talk to us it was apparent he had been busy having a cigarette We delayed speaking to anyone as I just wanted to get out of the hotel in the morning and try and enjoy the weekend so spoke upon our return early evening to which he told me I should have complained earlier We were eventually moved however to a smaller room despite paying upgrade When we went to our room to pack up our luggage before moving it was clear housekeeping hadn t cleaned anything just poorly made a bed In general the hotel was run down and in the middle of a building site A Gin and tonic is served in a half pint glass Lift glass is shattered and both rooms we had were freezing when we first entered as the heating is off until u go in ,horrific weekend persuade upgrade arrive upgrade room look build site not river assure unable notice initially go room dark however dlr start build work start ask speak duty manager busy wait finally come talk us apparent busy cigarette delay speak anyone want get hotel morning try enjoy weekend speak upon return early even tell complain earlier eventually move however smaller room despite pay upgrade go room pack luggage move clear housekeep clean anything poorly make bed general hotel run middle build site gin tonic serve half pint glass lift glass shatter room freeze first enter heat go,0
17588, The furniture is very old and Te bed was not so comfortable rusty in the bathroom I had staff walk into my room when I was there and another staff knock as they wanted to clear the room at 9am before I checked out It was a nuisance They should know who has checked out instead of knocking doors and opening doors ,furniture old te bed not comfortable rusty bathroom staff walk room another staff knock want clear room check nuisance know check instead knock doors open doors,0
17589, I asked for a large wine and was told I could only have medium I saw a large wine glass waiting to be washed right next to me as I was told they had no glasses This was on a Saturday night ,ask large wine tell could medium saw large wine glass wait wash right next tell glass saturday night,0
17590, The bed was as hard as a rock the aircon does not work in the room even though we were non smoking smoke was coming through the vent in the bathroom shower was bad the walls are so thin you can hear the couple next door a queue for breakfast in the morning paying 4 pounds to use gym towels had marks on them I will never go back again ,bed hard rock aircon not work room even though non smoke smoke come vent bathroom shower bad wall thin hear couple next door queue breakfast morning pay pound use gym towel mark never go back,0
17591, You only get 20 min free wifi Staff are disinterested Italian restaurant was cold service was poor they looked bored Reception check in staff ignored me for ages while she messed about with some more important paperwork staplers Leave plenty of time for checkout You can t have a vat receipt upon payment at check in so everyone was queuing for them in the morning ,get min free wifi staff disinterested italian restaurant cold service poor look bore reception check staff ignore age mess important paperwork staplers leave plenty time checkout vat receipt upon payment check everyone queue morning,0
17592, The room was very closed horrible art work no toothpaste the swimming pool shower didn t last long the sunbeds looked grimey no gluten free expensive breakfast outside of building looks ugly and it s difficult to get to,room close horrible art work toothpaste swim pool shower last long sunbeds look grimey gluten free expensive breakfast outside build look ugly difficult get,0
17593, The towels are far too small the sheets did not fit the beds and although we have stayed at this hotel many times it was just too noisy so will find another hotel in future ,towel far small sheet not fit bed although stay hotel many time noisy find another hotel future,0
17594, Location was poor the hotel is looking very tiered the staff were far from helpful it was very noisy and cold I think the later is probably due to the single glazing ,location poor hotel look tiered staff far helpful noisy cold think later probably due single glaze,0
17595, Nothing particular ,nothing particular,0
17596, Liked everything,like everything,0
17597, it does not make sense that WIFI and swimming pool cost extra The double bed is joined two single beds which means there is an unpleasant gap in the middle the train and building construction noise from outside is soooo loud ,not make sense wifi swim pool cost extra double bed join two single bed mean unpleasant gap middle train build construction noise outside soooo loud,0
17598, I booked in a couple of weeks ago and was asked if would like to upgrade free of charge This time I was asked if I would like to upgrade at a cost,book couple weeks ago ask would like upgrade free charge time ask would like upgrade cost,0
17599, Staff mistakenly charged my bill and I am still waiting for their refund Booking com has been in contact with them for this matter Really appreciate Booking com s assistance The lift in the hotel is very old and slowly And it s very shaky and quite terrifying Bed is ok standard and comfort But the air con is so loud that we had to switch off while sleep Swimming pool receptionist is very nice person but not smart enough and apparently lack of experiences of good customer service More training needed ,staff mistakenly charge bill still wait refund book com contact matter really appreciate book com assistance lift hotel old slowly shaky quite terrify bed ok standard comfort air con loud switch sleep swim pool receptionist nice person not smart enough apparently lack experience good customer service train need,0
17600,No Negative,negative,0
17601, Pool and jaccuzi were a little too cold hard to set a good temp in the shower no free Wi Fi,pool jaccuzi little cold hard set good temp shower free wi fi,0
17602, No means of warming breakfast croissants Dirty windows Shabby external entrance and forecourt Turned away from Jennys Restaurant as too busy with coach parties Main bar closed or used for private function Cold in Jennys restaurant at breakfast times although efforts were made to heat it up with a portable gas blower Bathroom dated and shabby ,mean warm breakfast croissants dirty windows shabby external entrance forecourt turn away jennys restaurant busy coach party main bar close use private function cold jennys restaurant breakfast time although efforts make heat portable gas blower bathroom date shabby,0
17603, The wifi was over priced and slow as hell The breakfast was cold and soggy ,wifi price slow hell breakfast cold soggy,0
17604,No Negative,negative,0
17605, The 20 mins free wi fi in the room It should be all free Most places you go its free wi fi,mins free wi fi room free place go free wi fi,0
17606, They need a machine for essentials such as toothpastes etc Also need more tea in rooms or biscuits and more comfort ,need machine essentials toothpastes etc also need tea room biscuits comfort,0
17607, Noisy due to construction word and DLR nearby Room a little shabby cables exposed to TV cracked wash basin in en en suite carpet fraying in places Dated wallcovering Didn t realise booking was for room without windows when reserving Would regard hotel as 3 star at best,noisy due construction word dlr nearby room little shabby cable expose tv crack wash basin en en suite carpet fray place date wallcovering realise book room without windows reserve would regard hotel star best,0
17608, The bed was rather hard but ok The breakfast had rather small variety of selections and the breakfast room was icy cold ,bed rather hard ok breakfast rather small variety selections breakfast room icy cold,0
17609, My first room I was offered but the receptionist sorted it out straight away,first room offer receptionist sort straight away,0
17610, Very long waits at reception Hard pillows The continuous sound of the aircon fan ,long wait reception hard pillow continuous sound aircon fan,0
17611, Wifi as mentioned,wifi mention,0
17612, Could of made the rooms more Modern and added some colour Better pictures and furniture,could make room modern add colour better picture furniture,0
17613, My daughter son in law and granddaughter had to stay in a smoking room and they are smokers because they didn t have our request for an extra bed the smell was dreadful but nothing else we could do,daughter son law granddaughter stay smoke room smokers request extra bed smell dreadful nothing else could,0
17614, Breakfast was boring and bland A receptionist was talking to his friend while we were waiting for service from him I m stuck here at the moment you know It was not perhaps his favourite job but he seemed really unprofessional to me Staff in general was helpful when asked but they didn t really seem eager to please Seemed happy with the 4 stars although I ve been to smaller MUCH better 2 star hotels It felt like the hotel manager had been away from 6 months ,breakfast bore bland receptionist talk friend wait service stick moment know not perhaps favourite job seem really unprofessional staff general helpful ask really seem eager please seem happy star although smaller much better star hotels felt like hotel manager away months,0
17615, WifI 20 mins free then you have to pay Most places are free these days ,wifi mins free pay place free days,0
17616, Customer service was appalling some members of staff were rude and antagonistic which seriously needs to be addressed The hotel looked dated and in need of updating Definitely not a four star hotel ,customer service appal members staff rude antagonistic seriously need address hotel look date need update definitely not four star hotel,0
17617, Would have liked a room with the balcony like last time as you cant open the window and it did get abit stuffy Claustrophobic ,would like room balcony like last time not open window get abit stuffy claustrophobic,0
17618, Breakfast meal was good but breakfast standards are very low Table set ups lay up of the buffet clearing troleys with dirty plates cups e t c inside the breakfast room so guests could see all of it whilst eating not good enough ,breakfast meal good breakfast standards low table set lay buffet clear troleys dirty plat cup e c inside breakfast room guests could see whilst eat not good enough,0
17619, Shower was more likely cold than hot but everybody is different ,shower likely cold hot everybody different,0
17620, Duvet Pillows Bed all very uncomfortable Room too hot noise from DLR They charge for WiFi and use of the gym Rooms very shabby and dated ,duvet pillow bed uncomfortable room hot noise dlr charge wifi use gym room shabby date,0
17621, The bed was nice and big however it was 2 mattresses put together and quite uncomfortable for a couple to sleep on If I wanted to sleep in a separate bed I would have booked a twin The parking I said was a bonus has an extremely cunning system They have an overnight rate of 15 but the catch is you have to leave the car park by 9am The luxury of parking your car until checkout which is only 2 hours later will cost you an extra 6 which I thought was a little excessive ,bed nice big however mattresses put together quite uncomfortable couple sleep want sleep separate bed would book twin park say bonus extremely cunning system overnight rate catch leave car park luxury park car checkout hours later cost extra think little excessive,0
17622, I had no problems and overall there was nothing I did not like which surprised me as there is usually something ,problems overall nothing not like surprise usually something,0
17623, Did not book breakfast thought it was too expensive able to buy good food very near the hotel Need juice and small snacks or fruit in the room maybe on arrival ,not book breakfast think expensive able buy good food near hotel need juice small snack fruit room maybe arrival,0
17624, Have to pay for wifi pay for breakfast pay for later check out pay for water for the room there is no surprise and delight you feel that you are just being milked all of the time There is a lot of building work going on so it s not easy to find a way to go over the bridge to Canary Wharf any more ,pay wifi pay breakfast pay later check pay water room surprise delight feel milk time lot build work go not easy find way go bridge canary wharf,0
17625, A noisy location due to road and rail noise There is a huge construction site directly next door which has recently begun This will be under construction for the next couple of years The rooms are dated and in need of full renovation The gym was filthy with dirty walls It was damp and the changing rooms were dire The shower cubicle doors were off their hinges This place needs condemning Never again And a case of another hotel ripping guests off by charging for Wi Fi in 2017 for goodness sake ,noisy location due road rail noise huge construction site directly next door recently begin construction next couple years room date need full renovation gym filthy dirty wall damp change room dire shower cubicle doors hinge place need condemn never case another hotel rip guests charge wi fi goodness sake,0
17626, Confusion on wifi,confusion wifi,0
17627, Accommodation seemed very tired out of date id not take the breakfast option wasn t good value for money ,accommodation seem tire date id not take breakfast option good value money,0
17628, The staff were horrible the room was dirty including the bathroom I complained but I was downgraded to a smaller room no refund ,staff horrible room dirty include bathroom complain downgrade smaller room refund,0
17629, One member of staff on reception didn t seem interested in helping us out once we were booked in But the girl who booked us in when we arrived was very nice The shower wasn t very hot but it was ok for a quick turnaround The breakfast wasn t as good as I expected The overall setup needs looking at ,one member staff reception seem interest help us book girl book us arrive nice shower hot ok quick turnaround breakfast good expect overall setup need look,0
17630, Manager was awful disrespectful and not helpful to numerous customers A lot of people booked double rooms and were given two twin beds even after complaints They tell you to push them together but my room had a pillar in the middle so that was impossible ,manager awful disrespectful not helpful numerous customers lot people book double room give two twin bed even complaints tell push together room pillar middle impossible,0
17631, no hot water on the saturday evening for a shower It s a lovely old building but in need of some TLC in house maintenance Parking a bit expensive by comparison,hot water saturday even shower lovely old build need tlc house maintenance park bite expensive comparison,0
17632, Hot water was too hot difficult to get a temperate stream for my morning shower ,hot water hot difficult get temperate stream morning shower,0
17633, Charge for swimming pool,charge swim pool,0
17634, The receptionist wasn t particularly welcoming and was very stern didn t smile However got past that My main disappointment throughout my stay was there was a huge building sight right outside my window which started making loud noises from as early as 5am Which I hadn t been told about when I checked in had i of known this I would of purchased a room with no window or on the other side of the building so I actually got some sleep ready for my meeting early the following morning Also a member of staff opened my door at 7am and came in waking me up with no apology just quickly slamming the door behind him her Hopefully you can offer me something to compensate my not so good stay at your hotel I would really appreciate if this is a possibility ,receptionist particularly welcome stern smile however get past main disappointment throughout stay huge build sight right outside window start make loud noise early tell check know would purchase room window side build actually get sleep ready meet early follow morning also member staff open door come wake apology quickly slam door behind hopefully offer something compensate not good stay hotel would really appreciate possibility,0
17635, No hot water was waiting all evening was told will be informed about the hot water when it is repaired noone bothered to call even after giving room number truly upsetting ,hot water wait even tell inform hot water repair noone bother call even give room number truly upset,0
17636, The electricity cut out from the early hours of the morning staff couldn t give updates or say what happened Had to walk up and down the stairs from the 10th floor with heavy suitcases and no assistance Had to check out super early Paid for breakfast but didn t even get to eat due to the power cut Markings on the walls and room very dated ,electricity cut early hours morning staff give update say happen walk stairs th floor heavy suitcases assistance check super early pay breakfast even get eat due power cut mark wall room date,0
17637, beds a little hard sorry and issues with locating it as roadworks building works has closed the main road and were not informed when booked of another route parked nearby and walked as could see hotel and got directions from builders luckily located a space ,bed little hard sorry issue locate roadworks build work close main road not inform book another route park nearby walk could see hotel get directions builders luckily locate space,0
17638,No Negative,negative,0
17639, there was a total power cut from 5am until i left at 8am There was no notification from staff like a note pushed under the doors so it was up to us to walk down to reception and ask the single member of staff what was going on i therefore had to shower and try to get ready using just a phone light When i asked for a refund i was told that the GM had said no refunds and so it was down to the reception staff to pass this message on The GM should have been there ,total power cut leave notification staff like note push doors us walk reception ask single member staff go therefore shower try get ready use phone light ask refund tell gm say refund reception staff pass message gm,0
17640, Unfortunately a power cut meant that we paid 20 for a breakfast that comprised of crossiants and cereal There was nothing that could have been done but not gettting our money back for the breakfast was disappointing Several parts of the room window wardrobe door and drawers need maintaining as they were broken ,unfortunately power cut mean pay breakfast comprise crossiants cereal nothing could not gettting money back breakfast disappoint several part room window wardrobe door drawers need maintain break,0
17641, Windows were super dirty The gym is dirty the ceiling is so low you can t raise your arms and with bad and very old equipment Breakfast was bad Air the in the bedroom was unbreathable even after turning the heating off the temperature would not drop below 23 C No mini fridge ,windows super dirty gym dirty ceiling low raise arm bad old equipment breakfast bad air bedroom unbreathable even turn heat temperature would not drop c mini fridge,0
17642, The room was OK but clearly a bit worn in places Temp control on the wall could not make the room cool We asked the facilities management to look at this but they did not appear to understand how a thermostat worked the temp shown is the room temp sir If you open the window the temp will go down so they opened the window and the room did get cool 1 4 January on the 8th floor The thermostat on the wall appeared to be stuck at 27degrees The fan was a bit noisy and rattled the a c ducting However the DLR line is quite close so the noise from the trains was the price to pay for a cool room Not a big problem but I did get up first thing 06 00 ish to shut the window ,room ok clearly bite wear place temp control wall could not make room cool ask facilities management look not appear understand thermostat work temp show room temp sir open window temp go open window room get cool january th floor thermostat wall appear stick degrees fan bite noisy rattle c ducting however dlr line quite close noise train price pay cool room not big problem get first thing ish shut window,0
17643, Just the fact we are stranded on a Sunday after midnight to get back Also the windows could do wuwith a ckean,fact strand sunday midnight get back also windows could wuwith ckean,0
17644, Change the mattresses,change mattresses,0
17645, They gave a room with no window and the room was extremely small We had to pay an extra 20 to upgrade We could not use Jenny s restaurant due an event over new year,give room window room extremely small pay extra upgrade could not use jenny restaurant due event new year,0
17646, It was a very cold room with timed heating so we needed to request for an additional heater to be out in the room It s fine because they sorted the issue out no problem,cold room time heat need request additional heater room fine sort issue problem,0
17647, This is an hotel from probably the 1970 s in an area of up to the moment architecture and modernity It is an anachronism It was dark dingy in places the rooms dust and grime windows so dirty hard to see through and especially bathroom old pubic hairs around bath and an ineffective shower were not particularly clean it lacks investment ,hotel probably area moment architecture modernity anachronism dark dingy place room dust grime windows dirty hard see especially bathroom old pubic hairs around bath ineffective shower not particularly clean lack investment,0
17648, Surly staff who didn t understand problems wrong times in room info for spa a trek to the tube no cleaning of room over 2 days,surly staff understand problems wrong time room info spa trek tube clean room days,0
17649, The fact I had to ask for the view I was told it was a river view it wasn t kind receptionist moved us Hard bed Room a bit shabby Jacuzzi didn t work ,fact ask view tell river view kind receptionist move us hard bed room bite shabby jacuzzi work,0
17650, Not having the maid knock on our door before 8am would have been nice I was up and getting ready for work but this is still too early ,not maid knock door would nice get ready work still early,0
17651, Decor was very shabby and dated Carpet worn stains in room Very limited facilities such as tea coffee supplies etc Very overpowering smell of bleach in reception and lobby area ,decor shabby date carpet wear stain room limit facilities tea coffee supply etc overpower smell bleach reception lobby area,0
17652, It s a little outdated compared to other more modern hotels none the less it still holds its class and facilities well I would definitely return for a stay mostly value for money,little outdated compare modern hotels none less still hold class facilities well would definitely return stay mostly value money,0
17653, The noise of others even after we contacted the reception team nothing was done unfortunately ,noise others even contact reception team nothing unfortunately,0
17654,No Negative,negative,0
17655, The bathroom could do with an update as it looked very tired and well used and a bulb or two didnt work ,bathroom could update look tire well use bulb two not work,0
17656, Double bed was two singles joined securely together but with a ridge in the middle 20 minutes free wifi then pay Non smoking room smelled of cigarettes Difficult to adjust shower temperature No in room safe ,double bed two single join securely together ridge middle minutes free wifi pay non smoke room smell cigarettes difficult adjust shower temperature room safe,0
17657, The hotel looks tired and dull everywhere The bar chairs are mostly too low The room has wallpaper peeling off scratched furniture and carpet badly laid The beds were narrow and pretty basic Premier Inn much better in all respects except location on this occasion The clientelle is very much bottom end group tour package ,hotel look tire dull everywhere bar chair mostly low room wallpaper peel scratch furniture carpet badly lay bed narrow pretty basic premier inn much better respect except location occasion clientelle much bottom end group tour package,0
17658, Outdated rooms worn out NO free WiFi Just 20 min is free IT doesn t have the facilities of a 4 star hotel Everything is pretty much basic ,outdated room wear free wifi min free facilities star hotel everything pretty much basic,0
